id,text,label
1,"Мой миленок тракторист,
Я - его доярочка.
Он в мазуте, я в навозе-
Боевая парочка.",частушка
2,"Мы пололи огород,
Парни веселилися.
Жарко стало, мы разделись,
А они свалилися.",частушка
3,"Я стояла за крыльцом,
А сказали: с молодцом.
Я платочек вынимала,
А сказали: целовала.",частушка
4,"Топну левой ногой,
Топну правенькой,
Все равно девчонки любят,
Хоть я – маленький!",частушка
5,"Что сидите, мужики,
Штаны протираете?
В поле только сорняки,
А вы все гуляете.",частушка
6,"Дояр Вася загрустил,
И вздохнул устало.
Всех коровок подоил,
А надоя - мало!",частушка
7,"Ой деды, деды, деды!
До чего же вы хитры,
Как иду я по воду -
Седина вам в бороду.",частушка
8,"Завела гармонь девчонку,
От любви блестят глаза.
Полюбила гармониста,
Не сдержала тормоза.",частушка
9,"Завела гармонь девчонку,
От любви блестят глаза.
Полюбила гармониста,
Не сдержала тормоза.",частушка
10,"Тучки по небу плывут,
Отражаясь в озере.
А Тарас приехал к Нюре,
На своём бульдозере.",частушка
11,"На трубе сидит петух.
Он кричит, что видит двух:
Ванечку с цветами,
Петеньку с деньгами!",частушка
12,"Летом скучно без частушек,
Без весёлых песен -
Без гармошки заводной
Мир неинтересен!",частушка
13,"Я накрашу губки ярко,
Я пойду через село,
Будет всем ребятам жарко,
Ну а мне-то - весело.",частушка
14,"Солнце весело сияет,
Нет причины хмуриться.
Бабы по полю идут,
И на Солнце жмурятся.",частушка
15,"Семь красавиц, семь сестер
На лугу зажгли костер.
Песни распевают,
В гости зазывают.",частушка
16,"Я сидела на печи,
Сторожила калачи.
А за печкой мышки
Сторожили пышки.",частушка
17,"Меня молодцы не любят
И не любят мужики,
А я бегаю с соплями
И пускаю пузыри.",частушка
18,"Ай да серенький коток
Пошел к речке под мосток,
В воду хвостик опустил,
Кошкам рыбы наловил!",частушка
19,"Пашут во поле весной
Наши трактористы,
А целуют под сосной
Наши гармонисты.",частушка
20,"Га-га-га, - распелся гусь.
Я лисичек не боюсь.
Всех лисичек на весу
Я в корзинке унесу!",частушка
21,"Ты зачем же завлекала,
Когда я тебе не мил?
Ты бы с осени сказала,
Я бы зиму не ходил.",частушка
22,"Я сидела на окошке,
Ехал милый мой на кошке,
Стал к окошку подъезжать
Не мог кошку удержать.",частушка
23,"По селу хожу с Тимошкой,
А Тимошка мой — с гармошкой.
Он играет, напевает,
Ветер кудри развевает.",частушка
24,"У кого какой миленок —
У меня ремесленный:
Отдала ботинки шить —
Сшил бурак берестяный.",частушка
25,"Миленький, не стукайся,
Хорошенький, не брякайся,
Под середнее окно
Тихонько поцарапайся",частушка
26,"От любви сердце пышет:
Щи кипят, она не слышит.",частушка
27,"Милый спит, тихонько дышит.
Я целую — он не слышит.",частушка
28,"У Тимошки чуб волною,
Он ухаживает за мною.",частушка
29,"Скоро я хозяйкой стану
У милого во дому:
Будут ужинать садиться
По приказу моему.",частушка
30,"Ох, кошка, брысь!
На-порог не садись:
А то миленький пойдете
Спотыкнется — упадет.",частушка
31,"Дорогой по осени
Сказал словечко тайное:
— Припасай, сударушка,
Колечко обручальное.",частушка
32,"У меня на сарафане
Косолапы петухи;
Я сама не косолапа —
Косолапы женихи.",частушка
33,"Дорогой по осени
Сказал словечко тайное:
— Припасай, сударушка,
Колечко обручальное.",частушка
34,"У меня на сарафане
Косолапы петухи;
Я сама не косолапа —
Косолапы женихи.",частушка
35,"Кучерявого Алешу
Хочу люблю, хочу брошу.",частушка
36,"Ты зачем расцвел,
Василек, во ржи?
Ты зачем пришел,
Милый мой, скажи?",частушка
37,"Приезжали меня сватать
С позолоченной дугой.
Пока пудрилась, румянилась,
Уехали к другой",частушка
38,"Эх, Семеновна,
Моя ты крошечка,
Да я пришел к тебе
Да под окошечко.",частушка
39,"Ну, какая это стать,
Ведра на гору таскать?
Я пойду замуж туда,
Где под окошечком вода.",частушка
40,"Милый, что, милый, что?
Милый сердится на что?
То ли люди что сказали,
То ли сам заметил что?",частушка
41,"Шила милому кисет,
А вышла рукавица.
Пришел милый, похвалил:
— Какая мастерица!",частушка
42,"А мне милый подарил
Любовь свою верную,
А я ему подарила
Свою безразмерную.",частушка
43,"Мы с милёночком гуляли
Возле нашего пруда;
Нас лягушки напугали —
Не пойдем больше туда.",частушка
44,"За околицей лесок,
А за лесом речка.
Где ты ходишь мой дружок,
Изнылося сердечко.",частушка
45,"Было время — развлекалась
Я до самого утра!
А теперь чуть разгуляюсь,
Муж кричит: ""Домой пора!""!",частушка
46,"Ой, колечко ты моё,
Золотая проба...
Буду милую любить
До самого гроба!",частушка
47,"У меня хороший повод —
Петь частушки и плясать.
Поздравляю тебя, теща,
У тебя хороший зять!",частушка
48,"Ненадежные девицы
Переполнили страну.
В наше время положиться
Можно только на жену!",частушка
49,"Музыка у нас играет —
Пусть не остановится!
Муж жену когда целует —
Завидно становится!",частушка
